title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Smoke - smoker among themselves,7.5,24134,6720,1995,9,7,17,39,69,2
Strange Days,7.2,45723,8700,1995,2,3,29,220,212,3
Three foreign legionnaires,7.9,3655,6720,1939,0,0,6,22,39,3
Sudden Death,5.6,21347,6660,1995,0,0,22,135,100,3
Under sharks in Hollywood,7.2,16525,6060,1994,5,2,25,91,145,3
Tank Girl,5.1,20398,6240,1995,0,0,41,101,159,3
Land and Freedom,7.6,6468,6540,1995,8,4,9,23,41,2
Tremors 2 - The Return of the Rocket WormsVideo,5.9,13879,6000,1996,0,0,28,9,68,3
I was a Nazi spy,6.8,842,6240,1939,2,0,4,2,27,2
The Universal StoryTV Movie ,7.1,58,7200,1995,0,0,4,0,2,1
Virtuosity,5.5,20157,6360,1995,0,0,15,25,79,3
Waterworld,6,114771,8100,1995,5,6,70,281,289,3
Four feathers,7.7,3786,6420,1939,0,2,10,17,61,3
The 120 days of Bottrop,5.8,187,3600,1997,0,0,0,0,1,1
The legend of Pinocchio,5.3,3348,5640,1996,1,2,32,29,19,3
Charlie - A heavenly hero,5.2,3126,4920,1996,0,0,52,18,30,3
The arrival,6.3,21583,6900,1996,1,1,36,35,101,3
Basquiat,6.9,13418,6480,1996,2,3,24,98,69,2
The Deed Romero,5.4,587,6240,1999,1,2,7,6,23,1
Bud &amp; Doyle: Total bio. Guaranteed harmful.,4.3,18489,5460,1996,1,0,20,41,122,1
The Birdcage - A paradise for shrill birds,6.9,48798,7020,1996,6,14,66,220,159,1
"Girl, Interrupted",7.2,41618,5460,1996,2,0,22,301,171,3
Network of lies,6,267,5640,1996,0,0,0,0,12,1
Cable Guy - The Nervesaw,6,95423,5760,1996,3,1,48,165,332,3
Carla's Song,6.9,2088,7620,1996,4,4,2,9,15,3
Baby Business,7,4849,6360,1996,3,2,15,83,46,2
City Hall,6.2,14605,6660,1996,0,0,29,2,54,2
Crash,6.3,34301,6000,1996,8,4,31,94,284,1
Gulliver&#39;s Travels,6.9,2209,4560,1939,0,0,31,0,48,3
The last red riding hood,7.3,343,1560,1996,0,0,5,0,3,3
diabolically,5.3,9777,6420,1996,1,1,33,8,54,3
Hip Hop Hood - Hell is loose in the neighborhood,6.6,29996,5340,1996,0,0,10,13,119,2
Dragonheart,6.4,66725,6180,1996,2,5,45,44,124,3
Eddie,5,6059,6000,1996,0,0,32,126,20,2
Eraser,6,67049,6900,1996,3,1,36,59,123,3
Everyone Says I Love You,6.8,25428,6060,1996,13,9,24,73,132,3
Uprising in Sidi Hakim,7.6,7424,7020,1939,1,0,14,45,91,2
Amy and the wild geese,6.8,16577,6420,1996,4,4,60,17,81,3
For Ever Mozart,6.5,525,5040,1996,0,0,3,4,8,3
The spirit and the darkness,6.8,38290,6540,1996,0,2,32,16,135,3
Hamlet,7.9,26558,14520,1996,6,12,67,18,208,2
Hard Core Logo,7.5,2089,5520,1996,4,6,16,73,39,3
An animal trio,5.8,8174,5340,1996,0,0,35,16,27,3
I Shot Andy Warhol,6.6,4978,6180,1996,6,5,14,94,38,2
Independence Day,6.9,330053,8700,1996,26,22,102,3787,791,3
The Hunchback of Notre Dame,7.9,6586,7020,1939,0,0,14,16,68,2
DNA Experiment of Insanity,4.4,22378,5760,1996,1,7,37,73,156,3
Promised is promised,5.3,54282,5340,1996,2,1,41,191,141,2
Last Man Standing,6.4,37835,6060,1996,0,0,46,0,143,3
Villages in flames,8.5,7660,6900,1996,6,1,4,0,36,2
Matilda,6.8,65950,5880,1996,3,7,65,173,149,2
Michael Collins,7.1,19919,7980,1996,6,9,45,76,85,3
Over and over,7,1485,5160,1939,0,0,2,11,24,3
Love has two faces,6.4,9560,7560,1996,4,5,38,70,67,3
Munsters Happy Christmas TV Movie,5.2,225,5460,1996,0,0,0,0,6,3
conscious,7.6,697,5760,1996,9,2,0,0,7,1
The Phantom,4.8,23963,6000,1996,2,0,22,121,137,3
Plump Fiction,2.7,3072,4920,1997,0,0,2,2,36,2
Rendezvous with an angel,5.4,7479,7380,1996,2,5,38,76,44,3
Buster and the police,7.8,3294,1320,1922,1,0,2,4,30,3
The tavern of Jamaica,6.3,5120,6480,1939,0,0,26,34,68,2
Raja Hindustani,6.1,3382,9900,1996,9,0,0,0,11,3
Robinson Crusoe,5.9,7800,6300,1997,0,0,10,16,37,2
Lies and secrets,8,23198,8520,1996,35,23,24,9,119,1
Star Trek: The first contact,7.6,83572,6660,1996,4,12,54,134,264,3
Two heroes,7.1,778,5400,1996,4,0,0,0,5,2
Teeth,6.5,18,1560,1996,0,0,0,0,1,3
Hongkong Love Affair,8.1,2450,7080,1996,22,3,2,3,23,2
The jury,7.4,76632,8940,1996,6,9,46,305,229,3
Tin Cup,6.3,31310,8100,1996,1,1,43,81,69,3
The big blackout - A city in a state of emergency,5.6,4242,5640,1996,0,0,17,9,57,2
Twister,6.2,120592,6780,1996,6,9,25,183,372,3
SOS fire on board,7.8,7012,7260,1939,0,0,9,24,58,2
When Guffman comes,7.6,20573,5040,1996,2,3,12,137,198,1
Yang and Yin - The Game of the Sexes in Chinese Cinema,6.6,90,4800,1998,0,0,0,0,2,1
Alien - Rebirth,6.3,127719,6540,1997,5,14,107,174,622,3
The Phantom Creeps,4.5,541,15900,1939,0,0,10,2,22,1
April,6.9,1849,4680,1998,1,7,5,5,10,1
Batman & Robin,3.6,151296,7500,1997,5,19,71,1050,951,3
Beauty and the Beast: Christmas magic video,6,4291,4320,1997,2,6,33,4,32,3
Big Guns Talk: The Story of the WesternTV Movie ,7.2,67,5640,1997,0,0,0,0,2,1
The Blackout,5.2,1623,5880,1997,3,0,15,8,22,1
The rule of the game,8.1,16599,6600,1939,1,0,9,157,82,2
Live Flesh - With skin and hair,7.5,19013,6180,1997,8,9,22,44,59,1
Chasing Amy,7.4,97329,6780,1997,8,6,22,401,493,3
Happy Together,7.8,11652,5760,1997,7,12,18,116,64,2
Himmel Kinder,8.5,18278,5340,1997,13,2,10,28,116,2
Contact,7.4,154288,9000,1997,10,16,16,366,569,3
Frankenstein&#39;s son,7.2,4986,5940,1939,0,0,10,57,96,3
My heart is crazy,7.1,8868,10740,1997,7,0,14,74,30,3
Dinner for spinners,7.7,23638,4800,1998,5,4,21,92,106,1
On a knife edge - rivals on the brink,6.9,45897,7020,1997,0,0,33,44,167,3
Ernest in Africa,4.7,1315,5400,1997,0,0,2,0,13,2
Event Horizon - At the edge of the universe,6.7,88391,5760,1997,1,1,58,384,814,2
Face - At the end you will be charged,6.8,3192,6300,1997,4,0,22,72,39,3
In the body of the enemy,7.3,225432,8280,1997,8,18,73,589,509,3
Hell ride to Santa Fé,7.9,24484,5760,1939,3,5,50,149,268,2
Ballfieber,6.7,7015,6120,1997,0,0,12,8,65,3
The fifth Element,7.6,262477,7560,1997,7,18,29,1362,710,3
All or nothing,7.2,71136,5460,1997,34,26,37,453,170,3
The file Jane,5.8,51385,7500,1997,1,2,67,124,135,2
Tarzan and his son,7,2354,5280,1939,0,0,2,0,17,3
Gridlock&#39;d - on it!,7,9864,5460,1997,2,1,24,4,40,3
Hana-bi - fire flower,7.9,18227,6180,1997,22,16,14,32,105,3
Sydney,7.3,21306,6120,1996,1,6,12,199,128,2
Heavy Metal F.A.K.K.2,5.3,5140,5280,2000,0,0,13,9,79,3
Her Majesty Mrs. Brown,7.3,9554,6300,1997,13,15,17,304,64,3
The jackal,6.3,74121,7440,1997,1,3,35,41,221,3
Union Pacific,7.2,1306,8100,1939,2,0,5,39,25,2
Because they are here to be kissed,6.5,40706,6900,1997,0,0,43,18,131,3
Forgotten World: Jurassic Park,6.4,188727,7740,1997,4,16,88,268,486,3
Men in Black,7.2,295461,5880,1997,17,28,78,3292,269,2
Midnight in the garden of good and evil,6.6,27556,9300,1997,1,2,54,41,205,3
Mimic - attack of killer insects,5.9,30283,6300,1997,3,6,46,319,146,2
Money Talks - Money does not stink,6.1,19757,5820,1997,0,0,51,26,38,3
Murder in the White House,6,20198,6420,1997,0,0,45,26,54,3
New Wave,3.3,6,1080,1997,0,0,0,0,0,1
Tango pleasing?,5.9,5004,6360,1997,0,0,27,10,46,2
Pardes,7,5406,11460,1997,3,0,0,0,21,3
Postman,5.9,46322,10620,1997,6,5,42,116,363,3
Without Limits,7.2,5168,7020,1998,2,0,45,45,56,3
Steve Prefontaine - The long-distance runner,6.7,4514,6360,1997,0,0,17,8,35,3
The rainmaker,7,35858,8100,1997,2,8,37,71,126,3
Merry-Go-Round,6.8,174,6600,1923,0,0,2,2,4,1
Really blonde,6,3280,6300,1997,0,0,19,4,26,3
The Replacement Killers - The Replacement Killers,6.1,20880,5220,1998,0,0,80,35,155,3
Savior - Soldier of hell,7.3,7683,6180,1998,2,0,23,25,116,2
The castle,6.7,1692,7380,1997,2,1,2,2,7,2
Scream 2,6,100336,7200,1997,5,8,83,328,471,2
Selena - An American dream,6.6,15426,7620,1997,8,5,27,160,148,3
Shiloh,6.4,1669,5580,1996,4,0,24,0,14,2
The Lion King 2: Simba Kingdom Video,6.4,29465,4860,1998,3,3,60,6,147,3
Sphere - The power from space,6,64781,8040,1998,0,0,61,71,264,3
Abe Lincoln in Illinois,7.5,1116,6600,1940,0,0,0,0,29,3
Three Kings - It&#39;s nice to be king,7.2,117056,6840,1999,10,13,120,811,546,3
Starship Troopers,7.2,180733,7740,1997,3,12,64,1001,1005,2
The swan princess and the secret of the castle,5.6,1765,4260,1997,0,0,14,0,8,3
The taste of the cherry,7.7,10679,5700,1997,3,2,7,68,75,1
A simple plan,7.6,42960,7260,1998,17,14,28,129,406,3
Titanic,7.7,568769,11640,1997,86,51,197,5208,2450,2
James Bond 007 - Tomorrow never dies,6.4,117640,7140,1997,6,8,78,283,308,3
Welcome to Sarajevo,6.9,4946,6180,1997,1,2,22,29,55,2
Cherokee Strip,6.7,23,5160,1940,0,0,0,0,4,1
Wild America,6.2,4599,6360,1997,1,0,17,5,32,3
winter sleepers,7.3,3599,7320,1997,8,9,9,3,48,3
Wishmaster,5.7,12896,5400,1997,0,0,23,75,146,2
Yes Boss,6.9,5987,9780,1997,1,4,3,16,7,3
Studio 54,5.7,24736,5580,1998,0,0,71,0,175,2
Cookoo Cavaliers,7.4,234,1080,1940,0,0,3,0,5,2
The Big Hit,6.1,22002,5460,1998,0,0,37,39,164,3
Brokedown Palace - Hope dies last,6.4,16236,6000,1999,0,0,26,19,182,3
Forever and ever,6.9,48608,7260,1998,5,9,81,73,334,3
city of Angels,6.7,77871,6840,1998,9,11,64,544,311,3
Dogma,7.4,155121,7800,1999,0,0,59,364,1005,3
The eye,4.9,12463,6540,1999,1,0,19,57,407,3
Dr. Cyclops,6.4,1242,4620,1940,0,0,5,7,30,3
Eyes Wide Shut,7.3,180619,9540,1999,5,15,192,538,1467,3
Frida,7.4,49719,7380,2002,17,27,123,273,264,3
From Hell,6.9,102034,7320,2001,0,0,151,682,528,3
Gods and Monsters,7.6,22558,6300,1998,35,23,23,479,224,2
Half Baked - Totally high and crazy,6.7,39973,4920,1998,0,0,25,103,161,2
Jacob the Liar,6.4,9988,7200,1999,0,0,36,9,82,3
Das mercury puzzle,6,45396,6660,1998,2,0,69,52,124,3
Mission: Impossible II,6,176703,7380,2000,10,17,194,308,1377,3
The Negotiator,7.3,90354,8400,1998,2,6,43,129,270,3
Still a strange couple,6.4,6063,5820,1998,0,0,37,7,56,2
Out of Sight,7.1,62687,7380,1998,13,7,104,552,296,3
Magical sisters,6,45022,6240,1998,1,6,67,67,253,3
The red violin,7.8,23244,7800,1998,19,15,29,30,245,3
Rush Hour,6.9,143924,5880,1998,6,7,71,992,305,3
Shipping News,6.8,24821,6660,2001,2,10,27,109,202,2
Six days seven nights,5.7,51430,5880,1998,2,3,62,22,156,3
Wag the Dog - When the tail wags the dog,7.1,59658,5820,1997,3,12,41,171,212,2
A wedding to fall in love with,6.8,89259,5700,1998,5,7,59,363,330,2
Wild Wild West,4.7,108923,6360,1999,10,11,111,302,637,3
File X: The movie,6.9,67747,7260,1998,4,7,99,39,291,3
X-Men,7.4,309511,6240,2000,11,23,81,8689,1359,3
Johnny Apollo,7,568,5640,1940,0,0,3,2,20,3
Henna,6.3,413,10800,1991,1,0,0,0,2,3
Lethal Weapon 4 - Two professionals clean up,6.6,105214,7620,1998,4,10,89,107,282,3
Small Soldiers,6.1,64739,6480,1998,2,4,53,103,127,3
Just a nervous thing,6.7,104463,6180,1999,4,5,83,209,332,2
Murderous friends,5.9,3631,5460,1998,0,0,13,5,62,3
Zatôichi kesshô-subject,7.6,697,5220,1964,0,0,3,0,6,3
Zatôichi nidan kiri,7.6,531,5040,1965,0,0,5,3,4,3
Knute Rockne All American,6.9,1140,5880,1940,1,0,8,9,18,3
Lebenslänglich,6.6,28073,6480,1999,1,5,77,0,116,3
Madeline,5.9,3978,5280,1998,0,0,70,0,35,1
Very Bad Things,6.3,35476,6000,1998,2,3,29,104,475,3
game of life,6.9,29838,8160,1998,0,0,21,93,109,3
Patlabor 2 - The Movie,7.6,2214,6780,1993,1,0,24,7,19,3
Orgasm,6.2,26998,5640,1997,0,0,23,26,168,1
Let George Do It!,6.6,123,4920,1940,0,0,4,0,5,3
Heartbreakers - Attention: sharp turns,6.2,38410,7380,2001,0,0,78,65,213,3
Xiao Qian,6.8,526,5040,1997,3,0,6,0,5,3
Notting Hill,7,153227,7440,1999,12,14,49,1334,579,3
The legionnaire,5.3,15321,5940,1998,0,0,28,7,58,3
Mircea,7.6,502,8160,1989,0,0,0,0,3,3
Night of Loving DangerouslyVideo ,7.4,84,4860,1984,0,0,0,0,2,2
Election,7.3,62886,6180,1999,22,18,34,381,429,2
Elizabeth,7.6,64215,7440,1998,32,32,68,1070,402,3
Comedian Harmonists,7.2,2526,7560,1997,13,3,19,3,29,3
Virgin Snow,5.5,8,4500,1976,0,0,0,0,1,1
Ernest goes to the military,4.8,1445,5100,1998,0,0,2,0,12,2
Mickey Blue Eyes,5.8,26696,6120,1999,0,0,72,19,113,3
Aimee &amp; Jaguar,7.3,4515,7500,1999,8,3,21,0,48,3
In the sign of Zorro,7.6,6413,5640,1940,1,0,14,27,69,3
EDtv - always on the air,6.1,31737,7320,1999,1,1,89,42,192,1
Geri&#39;s Game,7.9,9424,240,1997,7,0,2,20,29,3
The Crow: Salvation,5,7181,6120,2000,0,0,16,26,149,3
Ishq,6.9,4259,9660,1997,0,0,5,102,7,3
planet of monkeys,5.7,144874,7140,2001,9,20,89,2543,1345,3
Deadly storm,7.9,2578,6000,1940,0,0,0,0,57,1
Punk!,7.5,19134,5820,1998,2,1,9,7,319,3
Asterix &amp; Obelix vs Caesar,5.8,24565,6540,1999,3,1,25,0,55,3
state of emergency,6.3,48288,6960,1998,2,4,54,61,266,3
Scream 3,5.5,78427,6960,2000,5,5,72,471,721,2
Supernova,4.7,12399,5400,2000,0,0,59,19,264,3
stuntman,3.8,258,6360,1998,1,1,2,0,4,2
One night in New York,5.8,11951,6060,1999,0,0,47,0,179,3
Arlington Road,7.2,61848,7020,1999,0,0,45,136,577,2
Billy's Hollywood Screen Kiss,7.2,2975,5520,1998,2,2,12,5,56,2
Shakespeare in Love,7.2,143051,7380,1998,51,61,85,1495,740,3
The wife of the astronaut,5.2,38817,6540,1999,0,0,42,52,247,3
Edge of Seventeen,6.8,3946,5940,1998,5,2,2,0,73,3
Pinocchio,7.6,56697,5280,1940,2,0,63,179,124,3
Ice cold angels,6.9,125273,5820,1999,7,13,64,312,729,2
It Had to Be You,5.7,1316,5400,2000,0,0,2,32,40,2
Bummers at Compassion&#39;s Auto,6.7,176,5760,1987,0,0,0,0,0,2
Varsity Blues,6.4,30260,6000,1999,2,4,54,226,260,3
Insider,7.9,112807,9420,1999,28,34,74,332,501,3
Free Enterprise,7,2771,6780,1998,4,1,15,57,101,2
Three scenes with Ingmar Bergman,6.7,34,5520,1975,0,0,0,0,1,2
Chûgoku no chôjin,7.7,3352,7080,1998,4,1,2,0,31,3
Big Daddy,6.4,122995,5580,1999,8,11,101,30,279,2
Remember the Night,7.8,2066,5640,1940,0,0,3,19,43,3
James Bond 007 - The world is not enough,6.4,126125,7680,1999,6,9,137,416,656,3
The bone hunter,6.6,92801,7080,1999,0,0,47,101,386,3
Thirteen Days,7.3,39325,8700,2000,3,7,64,111,311,3
End of Days - night without tomorrow,5.7,73851,7260,1999,1,6,91,265,516,3
Every damn Sunday,6.8,85002,9720,1999,3,8,59,247,450,2
The legend of excavator Vance,6.7,38354,7560,2000,2,10,51,49,255,3
The way to Singapore,7.1,2556,5100,1940,0,0,15,0,20,3
Happiness,7.8,47177,8040,1998,13,14,22,302,487,2
Aa ab laut chalen,5.4,959,10620,1999,0,0,0,0,14,3
Act novel,7.7,4269,7200,1997,3,1,0,0,9,3
Earth,7.8,4561,6600,1998,1,0,22,2,50,3
Hot Noon or 12 O'Clock for Sure,6.5,31,360,1953,0,0,0,0,2,3
Hum dil de chuke sanam,7.6,6640,11280,1999,26,2,5,156,44,3
Jeans,6.1,1718,10500,1998,1,0,0,0,11,3
Josh - My heart is yours,6,4684,9720,2000,2,17,0,0,10,3
The Lord of the seven seas,7.8,5875,7620,1940,0,0,24,19,63,3
Topsy-Turvy - Turned Upside Down,7.4,8738,9600,1999,12,22,14,150,194,3
Everything Routine,7.9,163891,5340,1999,0,0,39,947,600,1
liberation,8,581,28200,1969,0,0,0,0,5,3
Prehistoric Super Salesman,5.3,18,420,1969,0,0,0,0,0,3
The Silver Screen: Color Me Lavender,6,100,6000,1997,0,0,2,0,7,2
The Thomas Crown affair,6.8,62476,6780,1999,3,2,80,263,409,3
flawless,6.4,12383,6720,1999,3,3,32,31,103,3
Psycho,4.6,32968,6300,1998,3,3,35,202,578,3
Dumbled - kidnapping for beginners,5.6,6399,4680,2000,0,0,22,5,66,2
My dog Skip,7,14584,5700,2000,6,4,43,60,144,3
Meeting of fate,5,15308,7980,1999,0,0,31,29,281,3
Alone against all,7.5,9946,5580,1998,5,5,7,56,99,2
Mercilessly beautiful,6.5,24159,5820,1999,1,1,102,116,317,1
Enigma - the secret,6.4,15337,7140,2001,3,5,18,63,165,3
I'm Bout ItVideo ,4.8,234,6600,1997,0,0,6,0,10,2
Tom Clancy&#39;s NetforceTV Movie,5.1,1069,12000,1999,0,2,16,0,33,3
The Burning Train,6.7,694,8520,1980,0,0,4,10,6,2
Muppets from space,6.2,12430,5220,1999,0,0,64,135,98,3
South Park - The Movie,7.8,130357,4860,1999,6,8,69,27,920,3
Beautiful People,6.7,2103,6420,1999,4,4,18,0,29,3
In the crosshair - Alone against all,6.4,70740,6360,2001,1,2,55,246,402,3
3 angels for Charlie,5.5,122086,5880,2000,12,26,190,1431,636,3
Impostor - The Replicant,6.2,17653,5700,2001,0,0,14,14,199,3
Rules - seconds of decision,6.3,32831,7680,2000,1,2,95,56,264,3
By your side,5.9,16210,5700,1999,1,3,117,76,147,3
Ghost World,7.5,80591,6660,2001,35,31,35,304,469,2
Sleepy Hollow,7.5,211693,6300,1999,22,28,74,815,971,2
Summer of Sam,6.6,27660,8520,1999,0,0,28,63,340,3
American Pie: Like a hot apple pie,7,254968,5700,1999,9,14,145,2985,773,2
The Beach,6.6,131875,7140,2000,0,0,90,382,538,3
Bringing Out the Dead - Nights of Remembrance,6.8,46732,7260,1999,2,4,36,133,380,2
Dil Se - With all my heart,7.6,9420,9780,1998,7,2,3,16,70,3
Zatôichi abare-himatsuri,7.5,582,5760,1970,0,0,8,0,5,3
Zatôichi kenka-daiko,7.5,454,5040,1968,0,0,3,2,8,3
Zatoichi sekisho yaburi,7.4,483,5160,1964,0,0,3,5,4,3
Ghost Dog - The Way of the Samurai,7.6,59167,6960,1999,1,7,37,120,337,3
Romeo Must Die,6,48489,6900,2000,1,7,87,106,350,3
Bones - down to the bone,4,4991,5760,2001,0,0,38,42,88,2
East Is East,6.9,12934,5760,1999,15,8,29,133,160,2
The Lady with the Torch,6.4,76,7140,1999,0,0,0,0,3,1
Mulholland Drive,8,188272,8820,2001,42,33,89,844,1709,3
A dangerous company,6.8,218,5220,1942,0,0,5,0,4,3
Help! I am a fish,5.8,3098,4800,2000,1,7,13,0,28,3
Looking for Kundun with Martin Scorsese,7.2,57,5100,1998,0,0,0,0,1,1
Der Grinch,5.9,104190,6240,2000,16,29,79,582,462,3
Hadashi no Gen 2,7.2,478,5100,1986,0,0,0,0,3,3
Faith is everything!,6.5,40252,7680,2000,2,5,30,65,254,3
Genroku Chûshingura,7.5,989,14460,1941,0,0,7,3,8,3
The Thin Pink Line,4.5,264,6360,1998,0,0,0,0,2,1
Bad Boys II,6.5,139551,8820,2003,5,12,92,383,505,3
Dollar for the DeadTV Movie ,5.3,648,5640,1998,0,0,4,0,21,1
Gaai tau saat or,4.4,438,5520,1996,0,0,8,0,17,1
My Italian trip,8.2,2087,14760,2001,4,1,2,14,23,1
Juve against Fantômas,6.6,807,3660,1913,0,0,7,2,6,2
Phantom,7.1,836,7500,1922,0,0,0,0,14,3
Decision in the Sierra,7.6,9324,6000,1941,1,0,25,31,75,3
Magnolia,8,205640,11280,1999,22,35,52,766,1397,1
Forever Fabulous,6.9,53,6300,1999,0,0,0,0,3,2
Galaxy Quest - Planless through space,7.3,101591,6120,1999,7,14,68,521,578,3
The storm,6.3,113211,7800,2000,4,19,166,324,764,3
Aandhi,7.8,500,7980,1975,2,0,0,0,9,2
Ring - The original,7.3,41112,5760,1998,6,1,16,215,396,2
Bunny,6.9,1356,420,1999,3,1,0,0,17,3
My valley was so green,7.9,12684,7080,1941,5,5,32,103,115,2
The adventures of Pluto Nash,3.7,17383,5700,2002,1,6,29,76,159,3
Hardball,6.3,18606,6360,2001,0,0,75,37,125,2
Captain Buzz Lightyear - Star CommandVideo ,5.9,2071,4200,2000,0,0,14,0,19,3
Arabian Nights - Adventure from 1001 NightTV Movie,7.5,3458,10500,2000,1,5,23,4,39,3
Traffic - The power of the cartel,7.7,149657,8820,2000,73,57,112,1203,846,3
I Wake Up Screaming,7.3,1988,4920,1941,0,0,7,4,65,3
Lost Liebesmuh &#39;,6.1,3433,5580,2000,0,0,21,38,98,3
The 200 years man,6.7,63767,7920,1999,1,6,52,73,338,3
Do not hang up!,7.1,161214,4860,2002,0,0,57,401,613,2
Shang-High Noon,6.6,76027,6600,2000,1,7,108,113,288,3
In the Navy,7.2,2079,5160,1941,0,0,9,17,20,3
Everything about my mother,7.9,57409,6060,1999,49,33,42,161,220,1
Little Nicky - Satan Junior,5.3,65565,5400,2000,0,0,135,20,235,2
Playboy: The Story of XVideo ,6.3,101,4920,1998,0,0,0,0,2,2
The case Mona,5.6,10710,5760,2000,0,0,41,18,146,3
Frequency,7.3,67402,7080,2000,2,6,35,53,494,3
Zatoichi tekka tabi,7.7,452,5580,1967,0,0,2,0,9,3
Only 60 seconds,6.4,174553,7080,2000,6,5,115,369,487,3
Lady Be Good,6.5,409,6720,1941,0,0,19,3,22,2
Demented,3.6,230,5220,1980,0,0,0,0,14,3
Golgo 13: Queen BeeVideo ,6.3,409,3420,1998,0,0,6,0,6,3
Zatôichi abare tako,7.3,594,4920,1964,0,0,4,2,9,3
Bigfoot,7.3,198,60,1967,0,0,0,0,13,3
Mutant Man,2,120,4620,1996,0,0,0,0,8,2
The crook,8,12109,5640,1941,2,0,8,50,103,2
Jin-Roh,7.6,8486,6120,1999,5,1,9,15,55,3
Ying xiong ben se,7.3,27,7080,1967,0,0,0,0,0,2
Panic,6.8,6614,5280,2000,0,0,6,33,117,3
Grass pane,6.9,13221,5580,2000,3,8,27,142,120,2
Erin Brockovich,7.3,108383,7860,2000,34,43,164,607,474,2
Final Destination,6.8,141163,5880,2000,3,3,65,1679,656,2
Saturday Night Live: The Best of Robin WilliamsVideo ,7.2,80,6540,1991,0,0,0,0,1,2
Small Time Crooks,6.7,26124,5640,2000,1,3,27,37,184,2
The little foxes,8.2,6054,6960,1941,1,0,11,47,96,2
The Big Con,7.1,17,4800,1975,0,0,0,0,2,2
Monkey King - A Warrior Between the Worlds TV Movie,5.4,1217,9000,2001,0,1,14,0,41,2
In the Cut,5.3,16708,7140,2003,1,2,29,115,349,2
Love & Basketball,7.1,10678,7440,2000,12,15,28,27,116,3
Red Planet,5.6,40461,6360,2000,0,0,123,222,341,3
Zoku Zatôichi monogatari,7.4,979,4320,1962,0,0,3,6,6,2
Bank Job,7.3,129274,6660,2008,0,0,35,342,176,3
The Human Condition,7.1,37,600,1999,0,0,0,0,1,2
Rock Star,6.1,28668,6300,2001,0,0,94,17,186,3
Monty Python&#39;s Flying CircusTV Movie,8.2,824,5400,1971,0,0,4,0,7,1
Way of the Gun,6.7,24737,7140,2000,0,0,68,167,321,3
Together!,7.5,15039,6360,2000,14,14,21,5,84,3
Making 'The Shining'TV Movie ,7.6,1297,2100,1980,0,0,0,0,18,2
One night at McCool&#39;s,6.1,24178,5580,2001,0,0,30,25,128,2
Manhunt,7.5,2431,6300,1941,0,0,2,27,52,2
The Watcher,5.3,19705,5820,2000,0,0,25,30,176,3
Psycho Beach Party,6.3,4162,5700,2000,3,1,5,23,91,3
A movie-ready murder TV movie,7,1166,5640,1999,2,2,2,0,21,3
Joyride - joyride,6.6,44842,5820,2001,0,0,25,145,329,3
Here is John Doe,7.7,7589,7320,1941,0,0,41,23,78,3
Biwi No. 1,5.4,1849,9540,1999,5,2,8,19,10,3
The way to Zanzibar,7.3,2032,5460,1941,1,0,13,0,13,3
Goya,6.7,1261,6360,1999,13,9,11,0,21,3
102 Dalmatians,4.8,20910,6000,2000,1,2,46,8,72,3
Knockaround Guys,6.1,17657,5520,2001,0,0,44,21,134,3
Awake,6.5,54266,5040,2007,1,3,25,131,186,3
Pearl Harbor,5.9,195222,10980,2001,10,35,236,975,1966,3
romantic relationships,7.1,10754,12960,2000,11,22,9,105,50,3
Mary - The Holy Mother of GodTV Movie,5.8,887,5280,1999,0,0,4,0,23,1
Eheposse,7.2,98,5520,1941,0,0,0,0,4,2
It's Showtime,6.4,7807,8100,2000,1,9,34,42,183,3
Vampire Hunter D: Bloodlust,7.8,19009,6180,2000,0,0,8,37,96,3
Harrison's Flowers,7.2,4915,7800,2000,3,1,19,0,77,3
Gangs of New York,7.5,237708,10020,2002,44,62,167,1067,1128,3
Deadly Blaze - Hotter than hell,3.1,452,5580,2001,0,0,5,0,25,3
The ride home TV Movie,6.9,1524,5520,2001,1,0,14,8,36,2
Original Sin,6,36952,6960,2001,0,0,29,109,178,3
Family Man - A Heavenly Decision,6.7,72900,7500,2000,4,6,33,75,307,3
A Yank in the R.A.F.,6.5,681,5880,1941,0,0,7,0,22,3
Saving Ryan's Privates,5,182,480,1998,0,0,0,0,4,3
Hey Ram - moments of tenderness,8,5454,11160,2000,5,7,2,24,46,2
The Nameless,6,5052,6120,1999,16,5,3,9,56,3
The Best of Film NoirVideo ,6.6,68,7200,1999,0,0,2,0,2,1
Faust: Love of the Damned,4,2687,5880,2000,4,4,7,21,67,2
Made,6.5,13486,5700,2001,0,0,22,14,160,3
Bambi,7.4,63109,3900,1942,3,1,35,94,119,3
Spy Kids,5.4,64907,5280,2001,2,10,36,1745,198,3
Felix,7,1418,5700,2000,5,2,19,0,25,3
Sign of Life - Proof of Life,6.2,44011,8100,2000,0,0,25,88,263,3
devilish,5.9,68999,5580,2000,1,3,82,97,245,3
Sweet November - A love in the fall,6.6,56452,6900,2001,0,0,38,40,269,2
Crocodile Dundee in Los Angeles,4.7,16611,5520,2001,0,0,30,27,113,2
The Fast and the Furious,6.6,191074,6360,2001,9,12,97,1241,952,3
Crime Is King,5.9,33904,7500,2001,0,0,29,15,398,3
Batman of the Future - The Joker is coming backVideo,7.8,10659,4560,2000,3,5,18,28,66,3
